source_project,log_id,curve_ordinal,curve_id,curve_unit,index_unit,index_min,index_max,curve_description,curve_version,business_value,update_date
NORWAY_WELLDB,9982/1,0,MD,M,M,0,4205.478,Measured depth,,HIGH,
NORWAY_WELLDB,9982/1,1,BS,IN,M,8.5344,17.6784,Bit Size,1,HIGH,2021-11-10T18:21:20Z
NORWAY_WELLDB,9982/1,2,CALI,IN,M,8.5344,26.2128,Caliper [hole diameter],1,HIGH,2021-11-10T18:21:20Z
NORWAY_WELLDB,9982/1,3,DRHO,G/CC,M,8.5344,12.192,Density correction,1,HIGH,2021-11-10T18:21:20Z
NORWAY_WELLDB,9982/1,4,DT,US/F,M,8.5344,17.6784,Compressional Slowness,1,HIGH,2021-11-10T18:21:21Z
NORWAY_WELLDB,9982/1,5,DTS,US/F,M,8.5344,17.6784,Shear Slowness,1,HIGH,2021-11-10T18:21:21Z
NORWAY_WELLDB,9982/1,6,GR,GAPI,M,8.5344,26.2128,Gamma Ray,1,,2021-11-10T18:21:22Z
NORWAY_WELLDB,9982/1,7,NPHI,V/V,M,8.5344,12.192,Neutron Porosity,1,HIGH,2021-11-10T18:21:22Z
NORWAY_WELLDB,9982/1,8,RD,OHMM,M,8.5344,26.0604,Deep resistivity,1,HIGH,2021-11-10T18:21:23Z
NORWAY_WELLDB,9982/1,9,RHOB,G/CC,M,8.5344,12.192,Bulk Density,1,HIGH,2021-11-10T18:21:23Z
NORWAY_WELLDB,11738/1,0,MD,M,M,2869.9968,2903.8296,Measured depth,,HIGH,
NORWAY_WELLDB,11738/1,1,DRHO,G/CC,M,2869.9968,2893.6188,Density correction,1,HIGH,2021-11-15T18:17:49Z
NORWAY_WELLDB,11738/1,2,GR,GAPI,M,2869.9968,2901.5436,Gamma Ray,1,,2021-11-15T18:17:50Z
NORWAY_WELLDB,11738/1,3,NPHI,V/V,M,2869.9968,2892.7044,Neutron Porosity,1,HIGH,2021-11-15T18:17:50Z
NORWAY_WELLDB,11738/1,4,PEF,B/E,M,2869.9968,2893.6188,Photoelectric Factor,1,HIGH,2021-11-15T18:17:51Z
NORWAY_WELLDB,11738/1,5,RD,OHMM,M,2869.9968,2903.8296,Deep resistivity,1,HIGH,2021-11-15T18:17:51Z
NORWAY_WELLDB,11738/1,6,RHOB,G/CC,M,2869.9968,2893.6188,Bulk Density,1,HIGH,2021-11-15T18:17:51Z
NORWAY_WELLDB,12638/1,0,MD,M,M,2715.4631,2769.4128,Measured depth,,HIGH,
NORWAY_WELLDB,12638/1,1,GR,GAPI,M,2715.4632,2767.584,Gamma Ray,1,,2021-11-16T01:01:02Z
NORWAY_WELLDB,12638/1,2,RD,OHMM,M,2716.9872,2769.4128,Deep resistivity,1,HIGH,2021-11-16T01:01:02Z
NORWAY_WELLDB,12359/1,0,MD,M,M,2715.6155,2741.676,Measured depth,,HIGH,
NORWAY_WELLDB,12359/1,1,GR,GAPI,M,2715.6156,2739.8472,Gamma Ray,1,,2021-11-15T23:32:06Z
NORWAY_WELLDB,12359/1,2,RD,OHMM,M,2717.5968,2741.676,Deep resistivity,1,HIGH,2021-11-15T23:32:06Z
NORWAY_WELLDB,22494/1,0,MD,M,M,3037.1797,3106.8264,Measured depth,,HIGH,
NORWAY_WELLDB,22494/1,1,GR,GAPI,M,3037.6368,3106.8264,Gamma Ray,1,HIGH,2021-11-22T04:47:27Z
NORWAY_WELLDB,22494/1,2,RD,OHMM,M,3037.1796,3105.6072,Deep resistivity,1,HIGH,2021-11-22T04:47:27Z
