mnemonic,log_curve_type_id,log_curve_main_family_id,log_curve_family_id,unit_quantity_id,unit,comment
LFP_AI,Equinor-AI,Geophysics,EQ-Acoustic%20Impedance%20Compressional,%28mass%20per%20time%29%20per%20area,kPa.s/m,null
LFP_AI_B,Equinor-AI_B,Geophysics,EQ-Acoustic%20Impedance%20Compressional,%28mass%20per%20time%29%20per%20area,kPa.s/m,null
LFP_AI_CO2,Equinor-AI_CO2,Geophysics,EQ-Acoustic%20Impedance%20Compressional,%28mass%20per%20time%29%20per%20area,kPa.s/m,null
LFP_AI_G,Equinor-AI_G,Geophysics,EQ-Acoustic%20Impedance%20Compressional,%28mass%20per%20time%29%20per%20area,kPa.s/m,null
LFP_AI_LOG,Equinor-AI_LOG,Geophysics,EQ-Acoustic%20Impedance%20Compressional,%28mass%20per%20time%29%20per%20area,kPa.s/m,null
LFP_AI_O,Equinor-AI_O,Geophysics,EQ-Acoustic%20Impedance%20Compressional,%28mass%20per%20time%29%20per%20area,kPa.s/m,null
LFP_AI_V,Equinor-AI_V,Geophysics,EQ-Acoustic%20Impedance%20Compressional,%28mass%20per%20time%29%20per%20area,kPa.s/m,null
LFP_AI_VERT,Equinor-AI_VERT,Geophysics,EQ-Acoustic%20Impedance%20Compressional,%28mass%20per%20time%29%20per%20area,kPa.s/m,null
LFP_SI,Equinor-SI,Geophysics,EQ-Acoustic%20Impedance%20Shear,%28mass%20per%20time%29%20per%20area,kPa.s/m,null
LFP_SI_B,Equinor-SI_B,Geophysics,EQ-Acoustic%20Impedance%20Shear,%28mass%20per%20time%29%20per%20area,kPa.s/m,null
LFP_SI_CO2,Equinor-SI_CO2,Geophysics,EQ-Acoustic%20Impedance%20Shear,%28mass%20per%20time%29%20per%20area,kPa.s/m,null
LFP_SI_G,Equinor-SI_G,Geophysics,EQ-Acoustic%20Impedance%20Shear,%28mass%20per%20time%29%20per%20area,kPa.s/m,null
LFP_SI_LOG,Equinor-SI_LOG,Geophysics,EQ-Acoustic%20Impedance%20Shear,%28mass%20per%20time%29%20per%20area,kPa.s/m,null
LFP_SI_O,Equinor-SI_O,Geophysics,EQ-Acoustic%20Impedance%20Shear,%28mass%20per%20time%29%20per%20area,kPa.s/m,null
LFP_SI_V,Equinor-SI_V,Geophysics,EQ-Acoustic%20Impedance%20Shear,%28mass%20per%20time%29%20per%20area,kPa.s/m,null
LFP_EI_HILT,Equinor-EI_HILT,GeophysicalSynthetics,EQ-Elastic%20Impedance,%28mass%20per%20time%29%20per%20area,kPa.s/m,null
LFP_EI_HILT_B,Equinor-EI_HILT_B,GeophysicalSynthetics,EQ-Elastic%20Impedance,%28mass%20per%20time%29%20per%20area,kPa.s/m,null
LFP_EI_HILT_CO2,Equinor-EI_HILT_CO2,GeophysicalSynthetics,EQ-Elastic%20Impedance,%28mass%20per%20time%29%20per%20area,kPa.s/m,null
LFP_EI_HILT_G,Equinor-EI_HILT_G,GeophysicalSynthetics,EQ-Elastic%20Impedance,%28mass%20per%20time%29%20per%20area,kPa.s/m,null
LFP_EI_HILT_O,Equinor-EI_HILT_O,GeophysicalSynthetics,EQ-Elastic%20Impedance,%28mass%20per%20time%29%20per%20area,kPa.s/m,null
LFP_EI_HILT_V,Equinor-EI_HILT_V,GeophysicalSynthetics,EQ-Elastic%20Impedance,%28mass%20per%20time%29%20per%20area,kPa.s/m,null
LFP_SGR,Equinor-SGR,GammaRay,EQ-Total%20Gamma%20Ray,API%20gamma%20ray,gAPI,null
LFP_GR,Equinor-GR,GammaRay,Gamma%20Ray,API%20gamma%20ray,gAPI,null
LFP_GRMIN,Equinor-GRMIN,GammaRay,Gamma%20Ray,API%20gamma%20ray,gAPI,null
LFP_CGR,Equinor-CGR,GammaRay,Gamma%20Ray%20Minus%20Uranium,API%20gamma%20ray,gAPI,null
LFP_GR_NORM,Equinor-GRN,GammaRay,Gamma%20Ray%20Normalized,API%20gamma%20ray,gAPI,null
LFP_GRMAX,Equinor-GRMAX,GammaRay,Gamma%20Ray%20Shale,API%20gamma%20ray,gAPI,null
GR,Equinor-GR,GammaRay,Gamma%20Ray,API%20gamma%20ray,gAPI,null
GRN,Equinor-GRN,GammaRay,Gamma%20Ray%20Normalized,API%20gamma%20ray,gAPI,null
LFP_API,Equinor-API,FluidProperties,EQ-Oil%20Gravity,API%20gravity,dAPI,null
LFP_UMAA,Equinor-UMAA,PhotoelectricFactor,EQ-Grain%20Photoelectric%20Factor,dimensionless,b/e,null
LFP_VPVS,Equinor-VPVS,Acoustic,EQ-VpVs%20%28Compressional%20To%20Shear%29%20Ratio,non-dimensional,unitless,null
