source_unit,osdu_unit
G/CC,g/cm3
G/CM3,g/cm3
G/C_3,g/cm3
IN,in
inches,in
MD,mD
MD/MD,mD/mD
-UNITLES,unitless
UNITLESS,unitless
UNTILESS,unitless
UNITLES,unitless
MIN,min
FRAC,v/v
fraction,v/v
CU,cu
CPS,1/s
M/S,m/s
GPA,GPa
MPA,MPa
V/V_DECI,v/v
V/V,v/v
MDCP,mD/cP
DAPI,dAPI
KPSM,kPa.s/m
kpa.s/m,kPa.s/m
MPA.S/M,MPa.s/m
B/E,b/e
B/ELEC,b/e
B/EL,b/e
BARNS/EL,b/e
%,%
RPM,rpm
M/HR,m/h
M/H,m/h
M/MN,m/min
F/HR,ft/h
HR,h
MV,mV
PPM,ppm
BCM3,b/cm3
M3,m3
TON,t
T,t
M3/d,m3/d
DEGC,degC
DEGF,degF
Â°C,degC
°C,degC
C,degC
DEG/C,degC
MS,ms
US/M,us/m
US,us
MILIDARC,mD
BAR,bar
BARS,bar
DEG,dega
DEGA,dega
PSI,psi
KPA,kPa
KNM,kN.m
F,degF
MD/CP,mD/cP
KLBF,klbf
M,m
OHMM,ohm.m
MM,mm
K/M3,kg/m3
GAPI,gAPI
API,nAPI
PSIA,psia
US/F,us/ft
UD/F,us/ft
